Day,Number of Vaccinations (First Dose)
2021-01-27,26
2021-01-28,541
2021-02-07,31160
2021-02-08,46509
2021-02-09,101082
2021-02-10,154914
2021-02-11,204540
2021-02-13,194371
2021-02-14,169353
2021-02-15,226678
2021-02-16,226902
2021-02-17,226755
2021-02-18,261945
2021-02-20,234564
2021-02-22,225280
2021-02-23,182896
2021-02-24,181985
2021-02-25,181439
2021-02-27,133833
2021-02-28,125752
2021-03-01,116300
2021-03-02,114680
2021-03-03,118654
2021-03-04,121010
2021-03-06,100983
2021-03-07,107200
2021-03-08,117148
2021-03-09,107463
2021-03-10,104990
2021-03-11,99174
2021-03-13,84292
2021-03-14,95675
2021-03-15,87860
2021-03-16,94437
2021-03-18,107433
2021-03-20,72923
2021-03-21,80222
2021-03-22,70933
2021-03-23,78330
2021-03-24,78817
2021-03-25,70407
2021-03-27,65368
2021-03-28,58424
2021-03-29,56431
2021-03-31,50752
2021-04-01,42360
2021-04-03,39843
2021-04-04,45538
2021-04-05,41322
2021-04-06,16181
2021-04-07,13028
2021-04-08,14804
2021-04-10,19943
2021-04-11,23657
2021-04-12,22456
2021-04-13,26750
2021-04-15,10572
2021-04-17,12157
2021-04-18,15048
2021-04-19,15057
2021-04-20,15938
2021-04-21,16817
2021-04-22,16784
2021-04-24,20194
2021-04-25,19520
2021-04-26,891
2021-04-27,325
2021-04-28,30
2021-04-29,10
2021-05-02,53
2021-05-03,10
2021-05-04,38
2021-05-05,54
2021-05-06,43
2021-05-08,2
2021-05-09,44
2021-05-11,10
2021-05-12,2
2021-05-23,59
2021-05-24,30
2021-05-25,501
2021-05-27,14
2021-05-29,738
2021-05-30,903
2021-06-03,20
2021-06-06,30
2021-06-19,4320
2021-06-20,4064
2021-06-21,6007
2021-06-22,6015
2021-06-23,5692
2021-06-24,4720
2021-06-26,6784
2021-06-27,6990
2021-06-28,4291
2021-06-29,4837
2021-06-30,4975
2021-07-01,4120
2021-07-03,7949
2021-07-04,8616
2021-07-05,9599
2021-07-06,9116
2021-07-07,10452
2021-07-08,22800
2021-07-10,44762
2021-07-11,50281
2021-07-12,69623
2021-07-13,138167
2021-07-14,178196
2021-07-15,196633
2021-07-17,182016
2021-07-18,195375
2021-07-19,180809
2021-07-24,159663
2021-07-25,211375
2021-07-26,217058
2021-07-27,241251
2021-07-28,251741
2021-07-29,250928
2021-07-31,284725
2021-08-01,302069
2021-08-02,290685
2021-08-03,298588
2021-08-04,312536
2021-08-05,279844
2021-08-07,3070268
2021-08-08,596224
2021-08-09,494721
2021-08-10,318437
2021-08-11,253715
2021-08-12,288507
2021-08-14,149914
2021-08-16,174880
2021-08-17,161491
2021-08-18,179758
2021-08-19,180965
2021-08-21,227526
2021-08-22,275209
2021-08-23,287210
2021-08-24,293857
2021-08-25,299915
2021-08-26,285908
2021-08-28,242665
2021-08-29,218051
2021-08-31,200724
2021-09-01,187150
2021-09-02,199025
2021-09-04,205090
2021-09-05,259401
2021-09-06,274833
2021-09-07,226451
2021-09-08,300794
2021-09-09,294255
2021-09-11,230769
2021-09-12,255014
2021-09-13,217100
2021-09-14,184893
2021-09-15,235755
2021-09-16,291685
2021-09-18,297017
2021-09-19,342960
2021-09-20,332808
2021-09-21,340551
2021-09-22,345438
2021-09-23,356955
2021-09-25,327281
2021-09-26,381048
2021-09-27,302248
2021-09-28,6625123
2021-09-29,1186093
2021-09-30,632897
2021-10-02,341578
2021-10-03,451363
2021-10-04,411464
2021-10-05,446088
2021-10-06,418131
2021-10-07,435305
2021-10-09,349528
2021-10-10,420194
2021-10-11,320207
2021-10-12,286419
2021-10-13,266544
2021-10-14,274201
2021-10-16,300023
2021-10-17,428016
2021-10-18,363618
2021-10-19,330760
2021-10-21,392214
2021-10-23,335106
2021-10-24,393181
2021-10-25,337988
2021-10-26,330868
2021-10-27,315190
2021-10-28,247662
2021-10-30,266113
2021-10-31,372331
2021-11-01,310415
2021-11-02,366337
2021-11-03,303942
2021-11-04,269414
2021-11-06,1346997
2021-11-07,916486
2021-11-08,1129320
2021-11-09,2593836
2021-11-10,1049734
2021-11-11,985671
2021-11-12,2530
2021-11-13,217057
2021-11-14,284511
2021-11-15,253516
2021-11-16,499779
2021-11-17,470506
2021-11-18,607084
2021-11-20,715369
2021-11-21,476984
2021-11-22,514388
2021-11-23,1102993
2021-11-24,723227
2021-11-25,790247
2021-11-27,955657
2021-11-28,536223
2021-11-29,822722
2021-11-30,1496419
2021-12-01,998927
2021-12-02,1038056
2021-12-03,1899
2021-12-04,642635
2021-12-05,666819
2021-12-06,225731
2021-12-07,311518
2021-12-08,348297
2021-12-09,320380
2021-12-11,227487
2021-12-12,291402
2021-12-13,325250
2021-12-14,338574
2021-12-15,367004
2021-12-18,363539
2021-12-19,315552
